ID,Вышестоящий ГО,Исполняющий ГО,Level,FunctionText,Type,Sphere,Sphere_2,Sphere_3,Anomaly,CollisionWith
КГДМФРК-9,МФРК,КГДМФРК,2,"размещение на интернет-ресурсе перечня товаров, по которым электронные счета-фактуры выписываются посредством модуля ""виртуальный склад"" информационной системы электронных счетов-фактур",Регулятивные,01.3.3 Другие общие службы (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
КГДМФРК-90,МФРК,КГДМФРК,2,"разработка правил подтверждения размещения товаров в местах временного хранения, совершения органами государственных доходов таможенных операций, связанных с регистрацией документов, представленных для помещения товаров на временное хранение, и выдачей подтверждения об их регистрации",Регулятивные,"04.7.1 Оптовая и розничная торговля, хранение и складирование (CS)",04.7 Прочие отрасли,04 Экономические вопросы,,
КГДМФРК-91,МФРК,КГДМФРК,2,"выявление и рассмотрение административных правонарушений, отнесенных законодательством республики казахстан к ведению этого органа",Контрольные,03.1.0 Полицейские службы (CS),03.1 Полицейские службы,03 Общественный порядок и безопасность,,
КГДМФРК-92,МФРК,КГДМФРК,2,разработка особенностей заявления сведений в транзитной декларации и порядка ее использования при перемещении товаров по территории республики казахстан,Регулятивные,04.1.1 Общие экономические и коммерческие вопросы (CS),"04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
КГДМФРК-93,МФРК,КГДМФРК,2,"разработка правил использования в качестве декларации на товары и транзитной декларации транспортных (перевозочных), коммерческих и (или) иных документов, в том числе предусмотренных международными договорами республики казахстан",Регулятивные,04.1.1 Общие экономические и коммерческие вопросы (CS),"04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
КГДМФРК-94,МФРК,КГДМФРК,2,"разработка особенностей применения таможенной процедуры таможенного транзита в отношении товаров, перевозимых по территории республики казахстан",Регулятивные,04.1.1 Общие экономические и коммерческие вопросы (CS),"04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
КГДМФРК-95,МФРК,КГДМФРК,2,разработка правил заполнения должностным лицом органа государственных доходов таможенных деклараций,Регулятивные,01.1.2 Бюджетно-финансовые вопросы (CS),"01.1 Исполнительные и законодательные органы, бюджетно-финансовые вопросы, международные отношения",01 Государственные службы общего назначения,,
КГДМФРК-96,МФРК,КГДМФРК,2,разработка правил подтверждения ввоза товаров для личного пользования на таможенную территорию ЕАЭС обратно после их вывоза с таможенной территории ЕАЭС,Регулятивные,04.1.1 Общие экономические и коммерческие вопросы (CS),"04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
КГДМФРК-97,МФРК,КГДМФРК,2,"разработка правил осуществления задержания (приостановления) наличных денежных средств и (или) денежных инструментов, перемещаемых через таможенную границу ЕАЭС, при получении информации, предоставляемой правоохранительными органами и (или) уполномоченным органом о возможной причастности к отмыванию доходов, полученных преступным путем и финансированию терроризма",Регулятивные,01.1.2 Бюджетно-финансовые вопросы (CS),"01.1 Исполнительные и законодательные органы, бюджетно-финансовые вопросы, международные отношения",01 Государственные службы общего назначения,,
КГДМФРК-98,МФРК,КГДМФРК,2,"разработка по согласованию с уполномоченным органом в области транспорта порядка представления железнодорожными перевозчиками информации о месте нахождения временно ввезенного железнодорожного транспортного средства международной перевозки и (или) перевозимых на железнодорожных транспортных средствах контейнеров, в том числе используемых для внутренних перевозок",Регулятивные,04.5.3 Железнодорожный транспорт (CS),04.5 Транспорт,04 Экономические вопросы,,
КГДМФРК-99,МФРК,КГДМФРК,2,"разработка перечня мест перемещения товаров через таможенную границу ЕАЭС, в которых применяется система двойного коридора, а также правил формирования такого перечня",Регулятивные,04.1.1 Общие экономические и коммерческие вопросы (CS),"04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
КГИАКМСХРК-1,МСХРК,КГИАКМСХРК,2,реализует государственную политику в области карантина растений,Общие функции,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-10,МСХРК,КГИАКМСХРК,2,разрабатывает правила проведения анализа фитосанитарного риска,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-100,МСХРК,КГИАКМСХРК,2,"предоставляет статистическую информацию и иную учетную и отчетную документацию (информацию) в области биологической безопасности в соответствии с правилами ведения учета, мониторинга и прогнозирования (моделирования) в области биологической безопасности",Реализационные,07.4.0 Услуги в области здравоохранения (IS),07.4 Услуги в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-101,МСХРК,КГИАКМСХРК,2,"согласовывает с уполномоченным органом в области биологической безопасности проекты нормативных правовых актов, нормативных технических документов, национальных и (или) межгосударственных стандартов, связанных с вопросами обеспечения биологической безопасности",Регулятивные,"03.6.0 Вопросы общественного порядка и безопасности, не отнесенные к другим категориям (CS)","03.6 Вопросы общественного порядка и безопасности, не отнесенные к другим категориям",03 Общественный порядок и безопасность,,
КГИАКМСХРК-102,МСХРК,КГИАКМСХРК,2,разрабатывает методику управления биологическими рисками,Регулятивные,07.5.0 НИОКР в области здравоохранения (CS),07.5 Ниокр в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-103,МСХРК,КГИАКМСХРК,2,"осуществляет ведение реестров субъектов, осуществляющих обращение с патогенными биологическими агентами, потенциально опасных биологических объектов",Регулятивные,07.4.0 Услуги в области здравоохранения (IS),07.4 Услуги в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-104,МСХРК,КГИАКМСХРК,2,"осуществляет проведение профилактических мероприятий в области биологической безопасности в соответствии с законом республики казахстан ""О биологической безопасности республики казахстан"" и законодательством республики казахстан",Контрольные,07.4.0 Услуги в области здравоохранения (IS),07.4 Услуги в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-105,МСХРК,КГИАКМСХРК,2,"осуществляет учет и мониторинг в области биологической безопасности в соответствии с законом республики казахстан ""О биологической безопасности республики казахстан"" и законодательством республики казахстан",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-106,МСХРК,КГИАКМСХРК,2,осуществляет государственный контроль и надзор за соблюдением требований в области биологической безопасности,Контрольные,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
КГИАКМСХРК-107,МСХРК,КГИАКМСХРК,2,"осуществляет разработку типовых программ профессиональной подготовки, переподготовки и повышения квалификации кадров в области биологической безопасности",Реализационные,"09.5.0 Образование, не подразделенное по ступеням (IS)","09.5 Образование, не подразделенное по ступеням",09 Образование,,
КГИАКМСХРК-108,МСХРК,КГИАКМСХРК,2,"осуществляет организацию научных исследований в области биологической безопасности в порядке, установленном законодательством республики казахстан",Реализационные,07.5.0 НИОКР в области здравоохранения (CS),07.5 Ниокр в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-109,МСХРК,КГИАКМСХРК,2,осуществляет внешнюю оценку биологических рисков,Контрольные,07.4.0 Услуги в области здравоохранения (IS),07.4 Услуги в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-11,МСХРК,КГИАКМСХРК,2,"выдает, приостанавливает действие и отзывает учетные номера",Реализационные,04.5.1 Автодорожный транспорт (CS),04.5 Транспорт,04 Экономические вопросы,,
КГИАКМСХРК-110,МСХРК,КГИАКМСХРК,2,осуществляет учет и мониторинг коллекционной деятельности,Контрольные,01.3.3 Другие общие службы (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
КГИАКМСХРК-111,МСХРК,КГИАКМСХРК,2,осуществляет разработку правил осуществления и допуска к осуществлению референтных (референс-) исследований,Регулятивные,07.5.0 НИОКР в области здравоохранения (CS),07.5 Ниокр в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-112,МСХРК,КГИАКМСХРК,2,"осуществляет обеспечение деятельности организаций, уполномоченных на формирование, ведение и содержание национальных коллекций патогенных и промышленных микроорганизмов, за счет бюджетных средств",Реализационные,07.5.0 НИОКР в области здравоохранения (CS),07.5 Ниокр в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-113,МСХРК,КГИАКМСХРК,2,"осуществляет государственный фитосанитарный контроль и надзор в отношении потенциально опасных биологических объектов, на которых осуществляется обращение с патогенными биологическими агентами, осуществляются с учетом особенностей, предусмотренных законодательством республики казахстан в области биологической безопасности",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-114,МСХРК,КГИАКМСХРК,2,разрабатывает и утверждает типовые нормы и нормативы по труду организаций по согласованию с уполномоченным государственным органом по труду,Регулятивные,"04.1.2 Общие вопросы, относящиеся к рабочей силе (CS)","04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
КГИАКМСХРК-115,МСХРК,КГИАКМСХРК,2,осуществляет иные функции в соответствии с законодательством республики казахстан.,Общие функции,"01.6.0 Государственные службы общего назначения, не отнесенные к другим категориям (CS)","01.6 Государственные службы общего назначения, не отнесенные к другим категориям",01 Государственные службы общего назначения,,
КГИАКМСХРК-12,МСХРК,КГИАКМСХРК,2,"разрабатывает порядок использования материальных средств, технических средств для фото и видеофиксации при осуществлении государственного карантинного фитосанитарного контроля и надзора",Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-13,МСХРК,КГИАКМСХРК,2,"разрабатывает перечень карантинных объектов и чужеродных видов, по отношению к которым устанавливаются и осуществляются мероприятия по карантину растений",Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-14,МСХРК,КГИАКМСХРК,2,"разрабатывает перечень карантинных объектов и чужеродных видов, по отношению к которым мероприятия по локализации и ликвидации очагов распространения осуществляются за счет бюджетных средств",Регулятивные,05.4.0 Защита биоразнообразия и охрана ландшафта (CS),05.4 Защита биоразнообразия и охрана ландшафта,05 Охрана окружающей среды,,
КГИАКМСХРК-15,МСХРК,КГИАКМСХРК,2,"принимает решение об установлении карантинной зоны с введением карантинного режима или его отмене на территории двух или более областей (за исключением случаев локального распространения карантинного объекта на территории областей), а также разрабатывает порядок проведения мероприятий по карантину растений в этих зонах, осуществляет контроль и надзор за их проведением",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-16,МСХРК,КГИАКМСХРК,2,разрабатывает порядок создания и хранения запаса пестицидов для проведения мероприятий по карантину растений,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-17,МСХРК,КГИАКМСХРК,2,осуществляет государственный контроль за соблюдением законодательства республики казахстан в области карантина растений местными исполнительными органами,Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-18,МСХРК,КГИАКМСХРК,2,"определяет перечень карантинных объектов, по отношению к которым устанавливаются и осуществляются мероприятия по карантину растений",Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-19,МСХРК,КГИАКМСХРК,2,"создает базу данных о наличии и распространении карантинных объектов в республике казахстан и других государствах, мерах и мероприятиях по борьбе с ними, размещает информацию на официальном интернет-ресурсе и предоставляет ее по запросу заинтересованным лицам",Реализационные,07.4.0 Услуги в области здравоохранения (IS),07.4 Услуги в области здравоохранения,07 Здравоохранение,,
КГИАКМСХРК-2,МСХРК,КГИАКМСХРК,2,организует государственные мероприятия по защите и карантину растений в соответствии с законами республики казахстан,Реализационные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-20,МСХРК,КГИАКМСХРК,2,"определяет подкарантинные объекты, зоны, места, участки производства, свободные или имеющие ограниченное распространение карантинных объектов и (или) чужеродных видов, предоставляет подтверждение стране-импортеру и обеспечивает доступ представителям страны-импортера для проведения инспектирования в случаях, предусмотренных международными договорами, ратифицированными республикой казахстан",Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-21,МСХРК,КГИАКМСХРК,2,разрабатывает положение о государственных инспекторах по карантину растений,Регулятивные,NO_MATCH,,,,
КГИАКМСХРК-22,МСХРК,КГИАКМСХРК,2,"утверждает методы, методики, рекомендации, регламентирующие порядок, способы осуществления мероприятий по карантину растений",Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-23,МСХРК,КГИАКМСХРК,2,"разрабатывает совместно с научно-исследовательскими организациями карантинные фитосанитарные меры на основе правил проведения анализа фитосанитарного риска, в том числе с учетом методики управления биологическими рисками в соответствии с законодательством республики казахстан в области биологической безопасности, международными нормами и рекомендациями, осуществляет постоянный контроль и надзор за их выполнением физическими и юридическими лицами",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-24,МСХРК,КГИАКМСХРК,2,устанавливает квалификационные требования на занятие должности главного государственного инспектора по карантину растений и государственных инспекторов по карантину растений,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-25,МСХРК,КГИАКМСХРК,2,организует проведение мероприятий по карантину растений и осуществляет контроль и надзор за их проведением в пределах своей компетенции,Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-26,МСХРК,КГИАКМСХРК,2,определяет условия транзита подкарантинной продукции,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-27,МСХРК,КГИАКМСХРК,2,вводит и отменяет временные карантинные фитосанитарные меры в соответствии с правилами по охране территории республики казахстан от карантинных объектов и чужеродных видов,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-28,МСХРК,КГИАКМСХРК,2,"осуществляет государственные закупки пестицидов, работ и услуг по их хранению, транспортировке, применению для проведения мероприятий по карантину растений в порядке, установленном законодательством республики казахстан о государственных закупках",Реализационные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-29,МСХРК,КГИАКМСХРК,2,"создает запас пестицидов для проведения мероприятий по карантину растений в порядке, установленном законодательством республики казахстан",Реализационные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-3,МСХРК,КГИАКМСХРК,2,осуществляет государственный карантинный фитосанитарный контроль и надзор,Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-30,МСХРК,КГИАКМСХРК,2,"распределяет по территории республики казахстан пестициды, приобретенные за счет бюджетных средств, для проведения мероприятий по карантину растений",Реализационные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-31,МСХРК,КГИАКМСХРК,2,"проводит на фитосанитарных контрольных постах первичный карантинный фитосанитарный контроль и надзор за ввозимой, вывозимой и транзитной подкарантинной продукцией, при необходимости – ее карантинную фитосанитарную экспертизу и (или) лабораторную экспертизу с отбором образцов, за транспортными средствами и приспособлениями для перевозки (в том числе кабинами, салонами, багажными и грузовыми отделениями транспортных средств, контейнерами), ручной кладью и багажом физических лиц, составляет акт карантинного фитосанитарного контроля и надзора, проставляет на сопроводительных товаротранспортных документах соответствующий штамп установленного образца о прохождении государственного карантинного фитосанитарного контроля и надзора",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-32,МСХРК,КГИАКМСХРК,2,"проводит в пункте назначения подкарантинной продукции вторичный карантинный фитосанитарный контроль и надзор, отбор образцов, при необходимости – ее карантинную фитосанитарную экспертизу и (или) лабораторную экспертизу с учетом фитосанитарной характеристики территории и места ее происхождения, пункта назначения, а также зон, мест, участков производства, свободных или имеющих ограниченное распространение карантинных объектов и (или) чужеродных видов, за транспортными средствами и приспособлениями для перевозки (в том числе кабинами, салонами, багажными и грузовыми отделениями транспортных средств, контейнерами), ручной кладью и багажом физических лиц, составляет акт карантинного фитосанитарного контроля и надзора, проставляет на сопроводительных товаротранспортных документах соответствующий штамп установленного образца о прохождении государственного карантинного фитосанитарного контроля и надзора",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-33,МСХРК,КГИАКМСХРК,2,"проводит в местах отгрузки вывозимой подкарантинной продукции постоянный карантинный досмотр, при необходимости – ее карантинную фитосанитарную экспертизу и (или) лабораторную экспертизу с отбором образцов и фитосанитарную сертификацию",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-34,МСХРК,КГИАКМСХРК,2,"проводит документарный государственный карантинный фитосанитарный контроль на фитосанитарных контрольных постах ввозимой, вывозимой и транзитной подкарантинной продукции",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-35,МСХРК,КГИАКМСХРК,2,"проводит постоянный досмотр подкарантинной продукции, при необходимости – ее карантинную фитосанитарную экспертизу и (или) лабораторную экспертизу с отбором образцов, рассматривает карантинные документы на объектах внутренней торговли и в организациях республики казахстан",Контрольные,"04.7.1 Оптовая и розничная торговля, хранение и складирование (CS)",04.7 Прочие отрасли,04 Экономические вопросы,,
КГИАКМСХРК-36,МСХРК,КГИАКМСХРК,2,"проводит постоянные контрольные выборочные обследования территорий и помещений организаций, объектов внутренней торговли, крестьянских или фермерских, приусадебных и дачных хозяйств, выращивающих, заготавливающих, складирующих, перерабатывающих и реализующих продукцию растительного происхождения, земель сельскохозяйственного, лесного, водного и другого назначения",Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-37,МСХРК,КГИАКМСХРК,2,выдает и контролирует исполнение предписаний об устранении выявленных нарушений законодательства республики казахстан в области карантина растений и о выполнении мероприятий по карантину растений,Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-38,МСХРК,КГИАКМСХРК,2,"направляет исковое заявление в суд о запрещении или приостановлении деятельности индивидуальных предпринимателей и юридических лиц в порядке и на основаниях, установленных законодательными актами республики казахстан",Контрольные,03.3.0 Суды (CS),03.3 Суды,03 Общественный порядок и безопасность,,
КГИАКМСХРК-39,МСХРК,КГИАКМСХРК,2,организует и контролирует мероприятия по исследованию импортного посевного и посадочного материалов в уполномоченной организации на наличие скрытой зараженности карантинными объектами и чужеродными видами,Контрольные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-4,МСХРК,КГИАКМСХРК,2,осуществляет координацию и методическое руководство деятельностью местных исполнительных органов в области карантина растений,Регулятивные,NO_MATCH,,,,
КГИАКМСХРК-40,МСХРК,КГИАКМСХРК,2,выдает фитосанитарные сертификаты на подкарантинную продукцию,Реализационные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-41,МСХРК,КГИАКМСХРК,2,обеспечивает выполнение международных норм и требований в соответствии с заключенными соглашениями в области карантина растений,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-42,МСХРК,КГИАКМСХРК,2,разрабатывает в пределах своей компетенции нормативные правовые акты в области карантина растений,Регулятивные,04.2.2 Лесное хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-43,МСХРК,КГИАКМСХРК,2,разрабатывает по согласованию с центральным уполномоченным органом по бюджетному планированию натуральные нормы в области карантина растений,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-44,МСХРК,КГИАКМСХРК,2,"определяет перечень должностных лиц, имеющих право на ношение форменной одежды (без погон), образцы форменной одежды (без погон) и порядок ношения",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
КГИАКМСХРК-45,МСХРК,КГИАКМСХРК,2,разрабатывает в пределах своей компетенции нормативные правовые акты в области защиты растений,Регулятивные,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-46,МСХРК,КГИАКМСХРК,2,осуществляет координацию и методическое руководство местных исполнительных органов в области защиты растений,Общие функции,04.2.1 Сельское хозяйство (CS),"04.2 Сельское хозяйство, лесное хозяйство, рыболовство и охота",04 Экономические вопросы,,
КГИАКМСХРК-47,МСХРК,КГИАКМСХРК,2,разрабатывает перечень особо опасных вредных организмов,Регулятивные,05.4.0 Защита биоразнообразия и охрана ландшафта (CS),05.4 Защита биоразнообразия и охрана ландшафта,05 Охрана окружающей среды,,
КГИАКМСХРК-48,МСХРК,КГИАКМСХРК,2,разрабатывает технический регламент о безопасности средств защиты растений (пестицидов),Регулятивные,04.1.1 Общие экономические и коммерческие вопросы (CS),"04.1 Общие экономические и коммерческие вопросы и вопросы, относящиеся к рабочей силе",04 Экономические вопросы,,
